mmsi,base_date_time,sog,cog,heading,vessel_name,imo,call_sign,vessel_type,status,length,width,draft,cargo,transceiver,latitude,longitude
103669999,2024-01-01 00:03:15,0.0,172.5,,MILADY,,,37,,17.0,5,,,B,30.36441,-89.08701
103669999,2024-01-01 00:06:15,0.0,172.5,,MILADY,,,37,,17.0,5,,,B,30.36441,-89.08701
103669999,2024-01-01 00:09:14,0.0,172.5,,MILADY,,,37,,17.0,5,,,B,30.36441,-89.08701
103669999,2024-01-01 00:12:16,0.0,172.5,,MILADY,,,37,,17.0,5,,,B,30.36441,-89.08701
123456789,2024-01-01 00:08:38,0.0,165.5,,ODYSSEY,,ODYSSEY,37,,25.0,10,,90,B,26.11497,-80.10731
123456789,2024-01-01 00:11:37,0.0,165.5,,ODYSSEY,,ODYSSEY,37,,25.0,10,,90,B,26.11496,-80.10731
123456789,2024-01-01 00:14:35,0.0,165.5,,ODYSSEY,,ODYSSEY,37,,25.0,10,,90,B,26.11496,-80.1073
123456789,2024-01-01 00:20:38,0.0,165.5,,ODYSSEY,,ODYSSEY,37,,25.0,10,,90,B,26.11497,-80.10731
203661016,2024-01-01 00:01:45,0.0,0.0,338,SHELL WHALE,IMO2345678,WRFF619,99,5,,,12.300000190734863,99,A,27.85608,-97.23883
203661016,2024-01-01 00:04:41,0.0,0.0,338,SHELL WHALE,IMO2345678,WRFF619,99,5,,,12.300000190734863,99,A,27.85612,-97.23883
203661016,2024-01-01 00:07:44,0.0,0.0,338,SHELL WHALE,IMO2345678,WRFF619,99,5,,,12.300000190734863,99,A,27.85611,-97.23877
203661016,2024-01-01 00:10:45,0.0,0.0,338,SHELL WHALE,IMO2345678,WRFF619,99,5,,,12.300000190734863,99,A,27.85612,-97.23873
203661016,2024-01-01 00:13:44,0.0,0.0,338,SHELL WHALE,IMO2345678,WRFF619,99,5,,,12.300000190734863,99,A,27.85613,-97.23886
205691000,2024-01-01 00:00:06,10.199999809265137,343.20001220703125,342,KONTICH,IMO9687502,ONIP,89,0,180.0,30,7.0,89,A,38.82328,-75.05518
205691000,2024-01-01 00:01:16,10.199999809265137,342.70001220703125,342,KONTICH,IMO9687502,ONIP,89,0,180.0,30,7.0,89,A,38.82646,-75.05644
205691000,2024-01-01 00:02:25,10.199999809265137,342.70001220703125,342,KONTICH,IMO9687502,ONIP,89,0,180.0,30,7.0,89,A,38.82953,-75.05768
205691000,2024-01-01 00:03:35,10.300000190734863,342.6000061035156,342,KONTICH,IMO9687502,ONIP,89,0,180.0,30,7.0,89,A,38.83274,-75.05899
205691000,2024-01-01 00:04:46,10.199999809265137,343.1000061035156,342,KONTICH,IMO9687502,ONIP,89,0,180.0,30,6.800000190734863,89,A,38.83591,-75.06025
205691000,2024-01-01 00:05:56,10.300000190734863,342.29998779296875,342,KONTICH,IMO9687502,ONIP,89,0,180.0,30,6.800000190734863,89,A,38.83912,-75.06153
205691000,2024-01-01 00:07:05,11.300000190734863,342.29998779296875,342,KONTICH,IMO9687502,ONIP,89,0,180.0,30,6.800000190734863,89,A,38.84245,-75.0629
205691000,2024-01-01 00:08:15,12.0,342.70001220703125,342,KONTICH,IMO9687502,ONIP,89,0,180.0,30,6.800000190734863,89,A,38.84602,-75.06436
205691000,2024-01-01 00:09:25,12.5,342.79998779296875,342,KONTICH,IMO9687502,ONIP,89,0,180.0,30,6.800000190734863,89,A,38.84985,-75.06591
205691000,2024-01-01 00:10:35,12.800000190734863,341.79998779296875,342,KONTICH,IMO9687502,ONIP,89,0,180.0,30,6.800000190734863,89,A,38.85383,-75.06755
205691000,2024-01-01 00:11:46,13.0,341.6000061035156,342,KONTICH,IMO9687502,ONIP,89,0,180.0,30,6.800000190734863,89,A,38.85783,-75.06922
205691000,2024-01-01 00:12:55,13.100000381469727,341.0,343,KONTICH,IMO9687502,ONIP,89,0,180.0,30,6.800000190734863,89,A,38.86183,-75.07091
205691000,2024-01-01 00:14:06,13.199999809265137,342.8999938964844,343,KONTICH,IMO9687502,ONIP,89,0,180.0,30,6.800000190734863,89,A,38.86591,-75.07255
205691000,2024-01-01 00:16:46,13.399999618530273,342.29998779296875,343,KONTICH,IMO9687502,ONIP,89,0,180.0,30,6.800000190734863,89,A,38.87535,-75.07636
205691000,2024-01-01 00:18:16,13.600000381469727,341.79998779296875,343,KONTICH,IMO9687502,ONIP,89,0,180.0,30,6.800000190734863,89,A,38.88067,-75.07859
205691000,2024-01-01 00:19:25,13.699999809265137,341.8999938964844,343,KONTICH,IMO9687502,ONIP,89,0,180.0,30,6.800000190734863,89,A,38.88488,-75.08036
